,product_name,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,nutrition-score-uk_100g
2952,french style sliced green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2953,sliced green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
2955,cut green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2957,zero calorie sweetener,0.0,0.0,0.0,0.0,0.0,2.3029066227829063,0.7261021187706841,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
3002,whole baby carrots,26.22505391408309,0.0,0.0,0.0,0.0,1.2105664405959236,0.5803998538248059,0.22078217802710345,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3034,shredded sauerkraut,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.0,0.2634202349280369,0.0,0.27965119679126504,0.0,0.0,0.0,3.0,3.0
3037,shredded sauerkraut,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.0,0.2634202349280369,0.0,0.27965119679126504,0.0,0.0,0.0,3.0,3.0
3038,diced tomatoes in tomato juice,26.22505391408309,0.0,0.0,0.0,0.0,1.1118983822045783,0.5834998865282501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3039,diced petite peeled tomatoes in tomato juice,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3052,100% vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.588230930818469,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
3053,100% spicy vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.588230930818469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3083,shredded sauerkraut,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.588230930818469,0.2634202349280369,0.0,0.2948500523024322,0.0,0.0,0.0,3.0,3.0
3091,"peeled tomatoes in tomato juice, diced",24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
3092,whole peeled tomatoes in tomato juice,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3093,whole peeled tomatoes in tomato juice,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3095,"tomatoes in tomato juice, diced",24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3098,diced tomatoes with jalapenos,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3101,"100% juice, tomato",20.915285161634436,0.0,0.0,0.0,0.0,0.8953775108326433,0.5606801981972991,0.0,0.11835232657614786,0.0,0.0,0.0,0.0,3.0,3.0
3102,100% vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.588230930818469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3114,leaf spinach,24.110733835537836,0.0,0.0,0.0,0.0,0.9840351650473652,0.0,0.23007323912135494,0.149510582306246,0.0,0.0,0.0,0.0,0.0,0.0
3118,"lite flavored juice cocktail, cranberry grape",24.110733835537836,0.0,0.0,0.0,0.0,1.2797051387468452,0.6561617798264151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3167,100% vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.588230930818469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3209,stevia blend sweetener,0.0,0.0,0.0,0.0,0.0,2.3029066227829063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3214,roasted red peppers,22.451723811411036,0.0,0.0,0.0,0.0,1.0773745118329554,0.49731087519085926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3228,sliced bamboo shoots,13.696618718969496,0.0,0.0,0.0,0.0,0.5040488195840364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
3229,bean sprouts,18.479839006232243,0.0,0.0,0.0,0.0,0.6580367184424893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3230,stir-fry vegetables,17.409850558540654,0.0,0.0,0.0,0.0,1.007242224507648,0.0,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
3294,peeled diced tomatoes,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3297,peeled whole tomatoes in tomato juice,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3303,chopped collard greens,17.409850558540654,0.0,0.0,0.0,0.0,1.0128747260793072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3304,"psst..., mixed cuts green beans",20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3307,"psst..., french style green beans",20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3438,diced green chile peppers,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
3510,"diced tomatoes in tomato juice, no salt added",24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.521002818939498,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
